Graphene_percentage,FEED,RPM,DOC,MRR_gm_per_sec,Ra
0.0,100,1000,0.1,0.012697176241481,0.418
0.0,100,1000,0.15,0.020326732673267,0.959
0.0,100,1000,0.2,0.031002004008017,0.331
0.0,100,2000,0.1,0.012719919110212,0.378
0.0,100,2000,0.15,0.019913627639154,0.441
0.0,100,2000,0.2,0.025933014354069,0.811
0.0,100,3000,0.1,0.012041984732823,1.001
0.0,100,3000,0.15,0.019638554216869,0.415
0.0,100,3000,0.2,0.026577645895153,0.429
0.0,150,1000,0.1,0.020857142857143,0.316
0.0,150,1000,0.15,0.031477449455678,0.517
0.0,150,1000,0.2,0.04184451219512,0.355
0.0,150,2000,0.1,0.019194029850747,0.713
0.0,150,2000,0.15,0.029495548961425,0.674
0.0,150,2000,0.2,0.040773899848254,0.428
0.0,150,3000,0.1,0.018897515527951,0.342
0.0,150,3000,0.15,0.030725925925927,0.29
0.0,150,3000,0.2,0.040805270863834,0.327
0.0,200,1000,0.1,0.021449541284407,0.635
0.0,200,1000,0.15,0.040742187499998,0.492
0.0,200,1000,0.2,0.051809338521401,0.407
0.0,200,2000,0.1,0.022934027777779,0.39
0.0,200,2000,0.15,0.024999999999997,0.446
0.0,200,2000,0.2,0.049577981651379,0.381
0.0,200,3000,0.1,0.022992831541218,0.353
0.0,200,3000,0.15,0.037388888888888,0.356
0.0,200,3000,0.2,0.053762183235868,0.452
0.005,100,1000,0.1,0.002702439024391,1.761
0.005,100,1000,0.15,0.01803045685279,0.39
0.005,100,1000,0.2,0.027698945349953,0.78
0.005,100,2000,0.1,0.009129999999999,0.989
0.005,100,2000,0.15,0.025005015045136,0.571
0.005,100,2000,0.2,0.027752475247526,0.644
0.005,100,3000,0.1,0.012154308617234,0.442
0.005,100,3000,0.15,0.022745490981964,0.584
0.005,100,3000,0.2,0.027775530839231,0.729
0.005,150,1000,0.1,0.011850152905197,1.826
0.005,150,1000,0.15,0.030607902735563,1.5
0.005,150,1000,0.2,0.039499999999998,2.103
0.005,150,2000,0.1,0.017811158798285,1.456
0.005,150,2000,0.15,0.032055393586005,0.98
0.005,150,2000,0.2,0.034911242603549,0.763
0.005,150,3000,0.1,0.021546546546549,1.849
0.005,150,3000,0.15,0.033252279635257,2.264
0.005,150,3000,0.2,0.039816513761469,0.394
0.005,200,1000,0.1,0.027817531305902,2.815
0.005,200,1000,0.15,0.04696707105719,3.236
0.005,200,1000,0.2,0.050017636684305,2.764
0.005,200,2000,0.1,0.022857142857145,0.692
0.005,200,2000,0.15,0.034029304029304,0.881
0.005,200,2000,0.2,0.050721247563352,0.617
0.005,200,3000,0.1,0.028691588785043,0.782
0.005,200,3000,0.15,0.029565217391307,0.945
0.005,200,3000,0.2,0.07428057553957,0.528
0.01,100,1000,0.1,0.014246841593781,1.07
0.01,100,1000,0.15,0.020028763183126,0.745
0.01,100,1000,0.2,0.023861386138615,0.769
0.01,100,2000,0.1,0.016753623188405,0.713
0.01,100,2000,0.15,0.019243781094527,0.757
0.01,100,2000,0.2,0.025270541082163,1.25
0.01,100,3000,0.1,0.014600985221675,0.997
0.01,100,3000,0.15,0.019179179179179,0.936
0.01,100,3000,0.2,0.024680203045685,0.331
0.01,150,1000,0.1,0.021504559270518,2.2
0.01,150,1000,0.15,0.026997084548106,1.181
0.01,150,1000,0.2,0.038088888888886,1.202
0.01,150,2000,0.1,0.021130185979974,1.05
0.01,150,2000,0.15,0.023838235294119,0.632
0.01,150,2000,0.2,0.040311572700294,0.708
0.01,150,3000,0.1,0.02051593323217,1.134
0.01,150,3000,0.15,0.030149253731343,0.926
0.01,150,3000,0.2,0.041320474777449,0.931
0.01,200,1000,0.1,0.015585937500001,1.694
0.01,200,1000,0.15,0.042279693486589,2.154
0.01,200,1000,0.2,0.052348754448397,1.387
0.01,200,2000,0.1,0.01809688581315,0.41
0.01,200,2000,0.15,0.03860805860806,0.835
0.01,200,2000,0.2,0.046666666666669,0.729
0.01,200,3000,0.1,0.022490909090907,1.024
0.01,200,3000,0.15,0.033825136612021,1.025
0.01,200,3000,0.2,0.054288499025343,1.045
0.02,100,1000,0.1,0.012582524271846,0.686
0.02,100,1000,0.15,0.019750479846448,0.708
0.02,100,1000,0.2,0.026820000000001,0.925
0.02,100,2000,0.1,0.013289473684212,0.88
0.02,100,2000,0.15,0.021437185929646,1.743
0.02,100,2000,0.2,0.0225,2.925
0.02,100,3000,0.1,0.012739726027398,0.979
0.02,100,3000,0.15,0.018844660194174,0.455
0.02,100,3000,0.2,0.027615763546799,0.746
0.02,150,1000,0.1,0.015804597701147,0.972
0.02,150,1000,0.15,0.027540500736379,1.243
0.02,150,1000,0.2,0.041246200607903,2.609
0.02,150,2000,0.1,0.01653153153153,1.005
0.02,150,2000,0.15,0.030437956204382,0.775
0.02,150,2000,0.2,0.035997088791848,0.665
0.02,150,3000,0.1,0.022217453505009,1.057
0.02,150,3000,0.15,0.029759398496237,0.792
0.02,150,3000,0.2,0.037048458149783,0.537
0.02,200,1000,0.1,0.023871527777776,2.594
0.02,200,1000,0.15,0.038378906250003,1.989
0.02,200,1000,0.2,0.054206500956018,3.853
0.02,200,2000,0.1,0.016146953405019,0.468
0.02,200,2000,0.15,0.037504587155967,1.504
0.02,200,2000,0.2,0.044409594095937,0.695
0.02,200,3000,0.1,0.025215827338133,0.629
0.02,200,3000,0.15,0.033144876325089,0.783
0.02,200,3000,0.2,0.048593749999998,0.593
0.03,100,1000,0.1,0.012832031250001,0.499
0.03,100,1000,0.15,0.01947216890595,0.414
0.03,100,1000,0.2,0.0259900990099,0.629
0.03,100,2000,0.1,0.01177990430622,0.674
0.03,100,2000,0.15,0.016168831168833,0.572
0.03,100,2000,0.2,0.027107107107105,0.511
0.03,100,3000,0.1,0.011712259371834,1.406
0.03,100,3000,0.15,0.020068426197461,0.718
0.03,100,3000,0.2,0.023461538461539,0.622
0.03,150,1000,0.1,0.021984848484846,1.001
0.03,150,1000,0.15,0.027759398496243,0.704
0.03,150,1000,0.2,0.036944045911051,0.81
0.03,150,2000,0.1,0.019605839416058,0.593
0.03,150,2000,0.15,0.028076923076922,0.698
0.03,150,2000,0.2,0.036941529235382,0.611
0.03,150,3000,0.1,0.019335260115608,0.779
0.03,150,3000,0.15,0.028231707317075,0.91
0.03,150,3000,0.2,0.04166409861325,0.772
0.03,200,1000,0.1,0.02007194244604,1.376
0.03,200,1000,0.15,0.033698384201078,0.996
0.03,200,1000,0.2,0.049980468749999,1.236
0.03,200,2000,0.1,0.023143382352942,0.647
0.03,200,2000,0.15,0.041111111111113,0.708
0.03,200,2000,0.2,0.050601941747575,0.586
0.03,200,3000,0.1,0.021909722222219,0.906
0.03,200,3000,0.15,0.038930481283423,0.927
0.03,200,3000,0.2,0.04725,1.284
